Algorithm,Movement,Feasibility Strategy,File name,Timestamp,Processing Time (h:m:s.ms),Packages,Dependencies,Bag Weight,Bag Benefit
RANDOM,EJECTION_CHAIN,SMART,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-25_19-27-06 | execution: 1,00:00:00:00113,24,64,11983,6048
GREEDY_PACKAGE-BENEFIT,EJECTION_CHAIN,SMART,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-25_19-27-06 | execution: 1,00:00:00:00054,23,66,12001,8881
GREEDY_PACKAGE-BENEFIT_RATIO,EJECTION_CHAIN,SMART,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-25_19-27-06 | execution: 1,00:00:00:00051,33,67,12013,11350
GREEDY_PACKAGE-SIZE,EJECTION_CHAIN,SMART,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-25_19-27-06 | execution: 1,00:00:00:00052,30,66,12008,7592
GREEDY_PACKAGE-BENEFIT,EJECTION_CHAIN,PROBABILISTIC_GREEDY,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-25_19-27-06 | execution: 1,00:00:00:00052,26,65,11980,8833
GREEDY_PACKAGE-BENEFIT_RATIO,ADD,SMART,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-25_19-27-06 | execution: 1,00:00:00:00051,26,64,12001,8545
RANDOM_GREEDY_PACKAGE-SIZE,EJECTION_CHAIN,SMART,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-25_19-27-06 | execution: 1,00:00:00:00053,35,67,11976,9780
VNS,ADD,SMART,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-25_19-27-06 | execution: 1,00:00:00:02330,34,67,11960,11379
VND,ADD,SMART,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-25_19-27-06 | execution: 1,00:00:38:60161,41,68,12003,12763
GRASP,SWAP_REMOVE_1_ADD_1,SMART,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-25_19-27-06 | execution: 1,00:00:00:10141,28,65,12011,6867
GRASP,ADD,PROBABILISTIC_GREEDY,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-25_19-27-06 | execution: 1,00:00:00:10266,28,65,12011,6867
GRASP,SWAP_REMOVE_2_ADD_1,SMART,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-25_19-27-06 | execution: 1,00:00:00:10424,28,65,12011,6867
GRASP,EJECTION_CHAIN,SMART,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-25_19-27-06 | execution: 1,00:00:00:10397,28,65,12011,6867
GRASP,SWAP_REMOVE_1_ADD_2,SMART,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-25_19-27-06 | execution: 1,00:00:00:10505,28,65,12011,6867
GRASP_VNS,SWAP_REMOVE_1_ADD_2,PROBABILISTIC_GREEDY,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-25_19-27-06 | execution: 1,00:01:22:97194,31,67,11999,9622
GRASP_VNS,EJECTION_CHAIN,PROBABILISTIC_GREEDY,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-25_19-27-06 | execution: 1,00:01:23:91610,34,66,12010,9342
GRASP_VNS,SWAP_REMOVE_1_ADD_1,PROBABILISTIC_GREEDY,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-25_19-27-06 | execution: 1,00:01:25:32747,35,68,11980,9665
GRASP_VNS,ADD,PROBABILISTIC_GREEDY,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-25_19-27-06 | execution: 1,00:01:26:77554,37,69,11941,9690
GRASP_VNS,SWAP_REMOVE_2_ADD_1,PROBABILISTIC_GREEDY,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-25_19-27-06 | execution: 1,00:01:27:44606,35,69,11951,9955
